entrez_id_human,entrez_id_mouse,pleiotropy_HPO,pleiotropy_MPO,median_exp,mean_exp,count_exp
152831,83379.0,,2.0,0.164508,0.7836261433962263,0.0
3831,16593.0,,1.0,28.1544,32.94841132075471,50.0
64837,16594.0,1.0,1.0,25.0049,33.09284698113206,51.0
147700,232943.0,,0.0,0.0901432,3.8292301792452825,4.0
89953,74764.0,,,15.1594,17.17067,44.0
10661,16596.0,1.0,2.0,0.0598531,0.12108468981132077,0.0
7071,21847.0,,1.0,30.1162,32.14093150943396,40.0
8462,194655.0,1.0,1.0,13.35,15.479845849056604,34.0
11278,16597.0,,1.0,4.19188,5.04672179245283,3.0
51621,50794.0,1.0,1.0,26.4322,29.80349320754716,52.0
136259,619665.0,,1.0,0.0401095,0.23515920377358498,0.0
28999,66277.0,,2.0,18.8776,30.567704603773592,47.0
83855,118445.0,,1.0,10.9582,14.201067169811317,31.0
128209,75753.0,,,0.0758894,0.6400547686792453,1.0
105378952,100416740.0,,,0.0,0.004201283018867925,0.0
10365,16598.0,,2.0,45.329,73.7315620754717,46.0
51274,16599.0,,2.0,28.7608,27.19260886792453,42.0
9314,16600.0,,2.0,47.9635,69.63625515094341,36.0
688,12224.0,,2.0,5.75884,32.684788264150946,19.0
1316,23849.0,1.0,2.0,54.9458,80.9828945283019,47.0
8609,93691.0,,2.0,9.13519,11.660153396226415,25.0
11279,245671.0,,1.0,7.33423,10.779845811320753,22.0
687,16601.0,,1.0,56.323,73.1343275471698,52.0
122773,271005.0,,,6.0083,7.268001320754718,10.0
23008,76788.0,,1.0,17.0688,18.565809811320758,49.0
23588,69554.0,,2.0,32.0985,29.771373962264157,51.0
116138,71765.0,,,108.918,119.38421886792455,53.0
54758,234825.0,,,9.52783,10.130332830188678,23.0
127707,242721.0,,0.0,0.0297093,0.8884533907547169,1.0
113730,546648.0,,1.0,0.232434,0.49919981509433975,0.0
55220,213417.0,,,1.05614,13.694878805660379,10.0
200942,78267.0,1.0,,38.5639,44.88860811320754,49.0
126823,68874.0,,,9.02072,14.002924924528301,23.0
57626,93688.0,,2.0,0.0,0.5042750339622641,0.0
317719,66720.0,1.0,1.0,0.485935,2.862936354716981,1.0
55175,217194.0,,,1.77607,2.3942660188679246,1.0
59349,240756.0,,1.0,22.4378,22.956540754716983,51.0
90293,67455.0,,,2.11076,3.414488867924529,3.0
57565,225266.0,,1.0,0.261099,1.2392815528301886,2.0
80311,236904.0,1.0,,4.01973,4.8311811320754705,2.0
339451,231003.0,,1.0,12.4869,12.085800566037737,32.0
23276,270201.0,,1.0,10.5569,10.84218113207547,29.0
11275,77113.0,,1.0,17.0668,20.700875660377353,44.0
27252,226541.0,,1.0,10.5365,11.296700754716982,28.0
9903,242785.0,,0.0,28.8812,31.977403396226414,52.0
84861,224023.0,,1.0,13.8593,15.597279999999998,39.0
151230,277396.0,,,7.03779,8.567513264150941,14.0
54800,75785.0,1.0,1.0,14.6953,14.761613018867921,35.0
64410,207952.0,,1.0,3.81927,4.253895283018868,1.0
55295,234378.0,,,9.02563,9.8964637735849,21.0
54813,66689.0,,,4.23843,4.119561698113207,0.0
114818,208439.0,,1.0,6.81142,7.879548113207549,14.0
26249,100503085.0,1.0,1.0,5.0337,7.836268679245284,7.0
377007,70788.0,,,0.759558,4.81403227735849,6.0
401265,244923.0,,1.0,0.302894,2.161177441509434,3.0
114792,212390.0,,1.0,0.39311,3.146637122641509,7.0
123103,546611.0,,,0.474852,0.9449607811320757,1.0
257240,245683.0,,,0.0751551,0.4205817641509433,0.0
283212,72184.0,,,0.651211,1.311756188679245,1.0
79786,234796.0,,,12.2988,11.731784528301885,32.0
340359,268807.0,,,0.22618,2.6007486962264164,2.0
56062,237010.0,,,0.582283,2.1691602056603774,2.0
131377,72330.0,1.0,1.0,0.0897947,5.918669575471699,1.0
10324,228003.0,2.0,1.0,1.7578,68.788398754717,5.0
57542,232539.0,,1.0,14.1455,18.182861698113207,41.0
51088,71778.0,,1.0,13.0516,14.272736603773584,37.0
89857,239743.0,,1.0,0.722678,1.6073686386792452,2.0
55975,52323.0,1.0,,8.73197,9.3860820754717,17.0
57563,246293.0,,,4.34121,4.625764905660378,2.0
55958,242521.0,1.0,1.0,13.4802,13.723466415094336,39.0
5655,69540.0,,,0.321978,6.247873069811322,5.0
11012,56538.0,,2.0,0.167934,22.104059856603772,11.0
43849,69511.0,,1.0,0.0135604,4.045932590566037,3.0
26085,626834.0,,1.0,0.123808,13.534670945283024,5.0
43847,317653.0,,1.0,0.888334,1.5336357754716983,1.0
55554,317652.0,,1.0,0.0,0.23594170943396225,0.0
9622,56640.0,1.0,1.0,0.0899429,8.015582779245282,1.0
25818,68668.0,,2.0,0.159309,12.730530628301889,6.0
5653,19144.0,,1.0,0.33451,13.59197610377358,11.0
5650,23993.0,,1.0,0.309135,13.362354375471696,8.0
11202,259277.0,,2.0,0.0574832,5.164050045283018,4.0
284366,101533.0,,,0.0,0.38556544150943395,1.0
3818,16621.0,1.0,1.0,2.79539,4.12493378490566,1.0
3824,16643.0,,,0.252147,0.5496427415094339,0.0
